sample_id,load_time,p2p_edge_time,comment
329221,0.9730403423309326,0.5998339653015137,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
2011391,1.6114909648895264,0.7937490940093994,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1196351,0.4305284023284912,0.18624258041381836,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1263211,0.4396665096282959,0.18758273124694824,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
2882231,1.2145707607269287,0.622730016708374,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7740901,0.8941864967346191,0.39137768745422363,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
6842931,0.384002685546875,0.26029229164123535,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1232991,0.903449296951294,0.40074944496154785,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
2343851,3.1496524810791016,1.7246944904327393,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
EARTH_3300024516_14,1.1363186836242676,0.6522994041442871,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
3923331,2.4511711597442627,2.0120933055877686,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
431941,0.2885468006134033,0.18710541725158691,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
8419561,1.0503716468811035,0.5308699607849121,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1447001,1.1411700248718262,0.6390726566314697,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1514471,1.0818440914154053,0.5124630928039551,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
45291,1.3289635181427002,0.8136105537414551,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
R25__metabat2_low_PE_026,0.8223869800567627,0.32712483406066895,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
8230591,1.508941650390625,0.8925075531005859,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5406021,0.6915788650512695,0.3739492893218994,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
6090531,0.7516849040985107,0.34935545921325684,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
GUT_GENOME259176,0.6898746490478516,0.28237366676330566,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7358681,0.8112847805023193,0.41127562522888184,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7803641,0.38638925552368164,0.15888595581054688,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1698661,1.1302475929260254,0.694464921951294,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5152021,0.6055190563201904,0.3288877010345459,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
6469271,1.0981593132019043,0.4683346748352051,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
9208331,0.8411765098571777,0.48474550247192383,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7243131,0.9367730617523193,0.5500228404998779,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
7799581,0.7710976600646973,0.3276512622833252,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
1152281,1.1655910015106201,0.5558886528015137,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
3894691,0.8577392101287842,0.38219571113586426,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
2036871,0.6605877876281738,0.4589066505432129,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5554651,1.728227138519287,0.9177124500274658,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
5356131,2.5850892066955566,1.5989210605621338,11_15-loadfailedsamples-80gigsdb-allcores-nopool-46644_finalerrorlogrow
