chash,sampleid
4f8fbdfb7e190223880c,GUT_GENOME003003
6b9a8d888d474f6352ae,GUT_GENOME003003
52c0f2cca8f3115aa93a,GUT_GENOME003003
2236595bf6ae48261651,GUT_GENOME003003
0dc470625850cd5eabc0,GUT_GENOME003003
cff576e02bb3373f4b7e,GUT_GENOME003003
bdf6b3f53fdd02faffea,GUT_GENOME003003
f486df54d7720cc97aa5,GUT_GENOME003003
bb181365b421949aa042,GUT_GENOME003003
201c23b3fd9fd42d363b,GUT_GENOME003003
0cf50c5b35823c22ac94,GUT_GENOME003003
998d190c03695d9141a2,GUT_GENOME003003
d71d5876aec11034a5ec,GUT_GENOME003003
6049bb768830fe11ece8,GUT_GENOME003003
5c776b37132bb9e1c20e,GUT_GENOME003003
0cfe95f23b886f7f0b61,GUT_GENOME003003
bb53408f0a10ab779538,GUT_GENOME003003
c1a1eb942e9a06d0d3b7,GUT_GENOME003003
383679be70657fb39cf1,GUT_GENOME003003
85fb4c53e13534097e51,GUT_GENOME003003
61d64fdf12d78ce86efc,GUT_GENOME003003
c05f5398ae255f1bae3d,GUT_GENOME003003
de534f58d49ec88fa07e,GUT_GENOME003003
e291808dd95629e51503,GUT_GENOME003003
025ff56ec94a3ab7eb74,GUT_GENOME003003
6f3ccec47e1048c374c1,GUT_GENOME003003
fedb6a93d17e66e9c207,GUT_GENOME003003
96f5130c22d53eb424de,GUT_GENOME003003
b5da61d74c4ed7df9bef,GUT_GENOME003003
4565bdc37af7bbb264d1,GUT_GENOME003003
ac73da6a886fe8c61976,GUT_GENOME003003
c607262278abdab6b6e7,GUT_GENOME003003
87a054084f57504a6c4e,GUT_GENOME003003
3f7b395655424c81ef35,GUT_GENOME003003
f0da5ec5c41862a9ad85,GUT_GENOME003003
4fe3859c5d10f680582a,GUT_GENOME003003
9698a101277f6afe22e2,GUT_GENOME003003
48dcdd27a97227858f65,GUT_GENOME003003
fdbf1cf1f76f12009910,GUT_GENOME003003
6f0a95fa7ff72bee211f,GUT_GENOME003003
def27e16350414ec778a,GUT_GENOME003003
e6642bb68d0f9fe6482b,GUT_GENOME003003
ea0698adcb25ebb1595d,GUT_GENOME003003
28c4024ccf13d009dec4,GUT_GENOME003003
2ef5c135b7bcc0cb58fa,GUT_GENOME003003
f5f98047880aa1464c3f,GUT_GENOME003003
28173d0840680ef02233,GUT_GENOME003003
3b8641fec7896d3a8248,GUT_GENOME003003
5f7e07ff6a9a4133c428,GUT_GENOME003003
4e536515458d17c165dc,GUT_GENOME003003
3071249a3ddc7a087b82,GUT_GENOME003003
b3057e2e6db8e4dbfb4f,GUT_GENOME003003
421cbb70b0d99a4decd8,GUT_GENOME003003
97671e570bd4ec619f90,GUT_GENOME003003
41d04eb223a16a09b75b,GUT_GENOME003003
782f264339a60aad13e2,GUT_GENOME003003
636ffcb409f1e41679e5,GUT_GENOME003003
325b1ca48f2caf07e76f,GUT_GENOME003003
d5673e0df35695cfff72,GUT_GENOME003003
a51861e37d6bb7f1ac36,GUT_GENOME003003
6e021e06dcfabb1dfb24,GUT_GENOME003003
4d5fcd4eda6bb6994705,GUT_GENOME003003
07a74e1893c792165881,GUT_GENOME003003
6eb21f51ab28335cb569,GUT_GENOME003003
e62619c32a18d7231800,GUT_GENOME003003
6a71ce51c0079d486a83,GUT_GENOME003003
e82edcc6e16859f63539,GUT_GENOME003003
8b9a163b7a97b4723d49,GUT_GENOME003003
145d7d959ea15733e69b,GUT_GENOME003003
b7cf4b3a9dc330830080,GUT_GENOME003003
4e247aa15f4bac25512c,GUT_GENOME003003
41ca14b98d0430bef624,GUT_GENOME003003
71d8eb019e270de0be1c,GUT_GENOME003003
7c88017174a9142e07c7,GUT_GENOME003003
45a3ed301d1669cf2944,GUT_GENOME003003
8df7915a52b1242aedcf,GUT_GENOME003003
eee1ecb9dfff555b1b8a,GUT_GENOME003003
61971656d656efedd8b5,GUT_GENOME003003
66816aacb29dd6f3cb21,GUT_GENOME003003
f92714e664db87293bed,GUT_GENOME003003
c65a134c189596f189a4,GUT_GENOME003003
210123c72d307eac863f,GUT_GENOME003003
e38ba88770a76bf2ce44,GUT_GENOME003003
8dd78e5e12695ca5dd17,GUT_GENOME003003
1b03db695b11280deb3b,GUT_GENOME003003
