chash,sampleid
e8972ae829a03946c4e2,7608801
0d9f0cbe5e53fc247a68,7608801
24d5d12a8243269578d3,7608801
8dcd34fb970cbfa20036,7608801
45d5532a99e23f758ce6,7608801
8b03e69915ffc8875923,7608801
8c7802c3e5375acb8c00,7608801
795278d235d476b8bb74,7608801
c839036dddbcf1f06362,7608801
3e1739b540824c66d9b5,7608801
4f657e7bf707915272c1,7608801
6e875873760d199478eb,7608801
7070fedafa5a7087585a,7608801
7206350f5bf841f6bc5e,7608801
f11ebaa53a800f2a971f,7608801
4a26ff45c522f30e01f8,7608801
4d92e18fb3494df75067,7608801
762b1ea5a7105cbe4a65,7608801
32ac536b9b32e2b92f66,7608801
653eb37c838bb7cd9ead,7608801
9f8a0d99d87ef5294265,7608801
894340b46f4d65b794d3,7608801
cf545fc9e9383e0cbfc6,7608801
56d927f198118eba0d8b,7608801
79f574974f3624514f32,7608801
ae1954fe95368b709853,7608801
93f26956be21c30e8e3b,7608801
77671a72b74d567e081c,7608801
8336c116edc6a86a5b2d,7608801
58cb08aae25714b0ad13,7608801
05dd266e0c5bff3d0b47,7608801
bb5034afb82b50555e46,7608801
f1c03b8a0a799c70d6da,7608801
390d6cf34c4375b2464f,7608801
ed74d197201f20798f56,7608801
6ffc75eeec25b16784dd,7608801
829872b35c7f2e6f9add,7608801
43d889a026c7d29e8357,7608801
b2def379217f54d1ad29,7608801
62dcb038ea32f019f9b9,7608801
adf4d62ac536f6d7ce6e,7608801
6e382f6244c38058f078,7608801
