recid,phash,qhash
GUT_GENOME005275_1,26f460f3e711719c8911,8e381851a4c5fbd902a7
GUT_GENOME005275_1,16c7f38216492cf6a668,26f460f3e711719c8911
GUT_GENOME005275_1,0d6332988ba590f53b6d,16c7f38216492cf6a668
GUT_GENOME005275_1,e9703565fc510d2382fc,0d6332988ba590f53b6d
GUT_GENOME005275_1,608e2e7fb8cb3e9a83b4,e9703565fc510d2382fc
GUT_GENOME005275_1,2af1a6b6079db2b03d02,608e2e7fb8cb3e9a83b4
GUT_GENOME005275_1,8f410f86804d6f872326,2af1a6b6079db2b03d02
GUT_GENOME005275_1,4df9837f4ed87eda9b38,8f410f86804d6f872326
GUT_GENOME005275_1,89ef18ca4c62813ecf94,4df9837f4ed87eda9b38
GUT_GENOME005275_1,ab47aeda15800f024995,89ef18ca4c62813ecf94
GUT_GENOME005275_1,d6aece5ceaa878e6c7a9,ab47aeda15800f024995
GUT_GENOME005275_1,5af39ce03683df39d445,d6aece5ceaa878e6c7a9
GUT_GENOME005275_1,ee930c99e0651dc0486e,5af39ce03683df39d445
GUT_GENOME005275_1,f0f7df778ac43ca38f72,ee930c99e0651dc0486e
GUT_GENOME005275_1,00da07328e09ef322264,f0f7df778ac43ca38f72
GUT_GENOME005275_1,a6e7031b9eb35519e431,00da07328e09ef322264
GUT_GENOME005275_1,e763f8adf2bad1ce229c,a6e7031b9eb35519e431
GUT_GENOME005275_1,4fb74f21a55fd9f3a1dc,e763f8adf2bad1ce229c
GUT_GENOME005275_1,69459a3d911d70bed5f2,4fb74f21a55fd9f3a1dc
GUT_GENOME005275_1,53003457ec446bc76ea0,69459a3d911d70bed5f2
GUT_GENOME005275_1,cc6e46408abaf9aab0bf,53003457ec446bc76ea0
GUT_GENOME005275_1,c4a8757c67f1c0a6f678,cc6e46408abaf9aab0bf
GUT_GENOME005275_1,b248ff18dca2a8913094,c4a8757c67f1c0a6f678
GUT_GENOME005275_1,3a29344bcbe033934513,b248ff18dca2a8913094
GUT_GENOME005275_1,96407ca35ffadef7ed93,3a29344bcbe033934513
GUT_GENOME005275_1,2bb6fc9a77c328bc8728,96407ca35ffadef7ed93
GUT_GENOME005275_1,a22ce35fd728fc5cccc9,2bb6fc9a77c328bc8728
GUT_GENOME005275_1,c365066cc9f6a58f51f9,a22ce35fd728fc5cccc9
GUT_GENOME005275_1,109d6077baffc7d7678e,c365066cc9f6a58f51f9
GUT_GENOME005275_1,414e770f80e359cbe277,109d6077baffc7d7678e
GUT_GENOME005275_1,3d4e768e946c96d8c41e,414e770f80e359cbe277
GUT_GENOME005275_1,40d4d7a3d2ac2073d03d,3d4e768e946c96d8c41e
GUT_GENOME005275_1,cf2d0371f9740e408699,40d4d7a3d2ac2073d03d
GUT_GENOME005275_1,22fe19f20f7c4d10cae5,cf2d0371f9740e408699
GUT_GENOME005275_1,f73a0b8f9de03d198582,22fe19f20f7c4d10cae5
GUT_GENOME005275_1,c4ec2985053d574f4f88,f73a0b8f9de03d198582
GUT_GENOME005275_1,e74423958b89e4e61a66,c4ec2985053d574f4f88
GUT_GENOME005275_1,40c08b65a7b77a9cceb8,e74423958b89e4e61a66
GUT_GENOME005275_1,820bfe67d0fc7efb8689,40c08b65a7b77a9cceb8
GUT_GENOME005275_1,dd3fbea043ae5af3cfa7,820bfe67d0fc7efb8689
GUT_GENOME005275_1,3ec20fb4e5f435121ad3,dd3fbea043ae5af3cfa7
GUT_GENOME005275_1,57ba1c8ac7b32e6d8eb5,3ec20fb4e5f435121ad3
GUT_GENOME005275_1,68574e11e61aaa691ba4,57ba1c8ac7b32e6d8eb5
GUT_GENOME005275_1,9991d451184d05410f19,68574e11e61aaa691ba4
GUT_GENOME005275_1,fb3753221658730b204b,9991d451184d05410f19
GUT_GENOME005275_1,0a7b7d3b669a0e6c6c22,fb3753221658730b204b
GUT_GENOME005275_1,9c445223e286f56d7ba6,0a7b7d3b669a0e6c6c22
GUT_GENOME005275_1,2208127b699624502a76,9c445223e286f56d7ba6
GUT_GENOME005275_1,bf982ec44c3e38f0229e,2208127b699624502a76
GUT_GENOME005275_1,fe603a20fe9254b6559c,bf982ec44c3e38f0229e
GUT_GENOME005275_1,aa2c1ec28694b12a8dd8,fe603a20fe9254b6559c
GUT_GENOME005275_1,11df6b344dc81dd98f2f,aa2c1ec28694b12a8dd8
GUT_GENOME005275_1,a70924d426eb5a75f392,11df6b344dc81dd98f2f
GUT_GENOME005275_1,c9b25cfaba3b49af56e9,a70924d426eb5a75f392
GUT_GENOME005275_1,6c65932d1b7955d46f11,c9b25cfaba3b49af56e9
GUT_GENOME005275_1,7269e2f4f85070392d2b,6c65932d1b7955d46f11
GUT_GENOME005275_1,f653aeb0c94c3b25dcba,7269e2f4f85070392d2b
GUT_GENOME005275_1,ed2a00e86dad2331a415,f653aeb0c94c3b25dcba
GUT_GENOME005275_1,4ffe6efcf96a74395155,ed2a00e86dad2331a415
GUT_GENOME005275_1,c09bfef5cb7d21df837f,4ffe6efcf96a74395155
GUT_GENOME005275_1,596081966431f92ffe1a,c09bfef5cb7d21df837f
GUT_GENOME005275_1,b2460eea7702f5d1df92,596081966431f92ffe1a
GUT_GENOME005275_1,ce818a7dbb5397dbe482,b2460eea7702f5d1df92
GUT_GENOME005275_1,e7cc7c30b94fd0feb857,ce818a7dbb5397dbe482
GUT_GENOME005275_1,845d00f4db01d9e44098,e7cc7c30b94fd0feb857
GUT_GENOME005275_1,c20202a45ce197df61f3,845d00f4db01d9e44098
GUT_GENOME005275_1,7c61c63760cfd871ec18,c20202a45ce197df61f3
GUT_GENOME005275_1,9cedc1af9f9b56b85ac2,7c61c63760cfd871ec18
GUT_GENOME005275_1,cf519ef73c68798e5d98,9cedc1af9f9b56b85ac2
GUT_GENOME005275_1,0532df927425a0f9939f,cf519ef73c68798e5d98
GUT_GENOME005275_1,de7dd21f7916dc306757,0532df927425a0f9939f
GUT_GENOME005275_1,a7ed050986bebb289f98,de7dd21f7916dc306757
GUT_GENOME005275_1,651c70def2ab9ce259b8,a7ed050986bebb289f98
GUT_GENOME005275_1,2a052dd0341b358b7758,651c70def2ab9ce259b8
GUT_GENOME005275_1,708542009991b6ae868f,2a052dd0341b358b7758
GUT_GENOME005275_1,360d2a2b9991a596c891,708542009991b6ae868f
GUT_GENOME005275_1,779b942c8d95ae7b674f,360d2a2b9991a596c891
GUT_GENOME005275_1,1e6bf4689a0286a6e84e,779b942c8d95ae7b674f
GUT_GENOME005275_1,e45b125b94db74d5d266,1e6bf4689a0286a6e84e
GUT_GENOME005275_1,67629046ae8ba4e0dd89,e45b125b94db74d5d266
GUT_GENOME005275_1,4b2b40766634fe5e90ac,67629046ae8ba4e0dd89
GUT_GENOME005275_1,db42fb785428644e8a59,4b2b40766634fe5e90ac
GUT_GENOME005275_1,2a39b2cd31d4d8ab6b98,db42fb785428644e8a59
GUT_GENOME005275_1,ba147fb6e73b230061d4,2a39b2cd31d4d8ab6b98
GUT_GENOME005275_1,1dfca33df736f7e77283,ba147fb6e73b230061d4
GUT_GENOME005275_1,75c0db1cfe0d5f227357,1dfca33df736f7e77283
