bait_id	protein_id	dist	info
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	2c2238f6c2bbf91578d7c6565c5ff7fca506502e20a534b0a7028d92f403b60c	-9252	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	bfafbc76d0ee80bef61337cedff3cb4c31ce5511c3b7cf4c6e646e6ed83b439c	-8549	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	fcc71ae4ae0a9ef9807da29b063705770738480d3a2a2f79daf7396b3dd6368f	-7645	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	57e284e75ab3dfc7d2509f21091ae3ff097362779248e00599bd5838d9c8c324	-7282	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	8c4635dca6bf10566429295d9c5dfa8a896b341ed5855f419f6ceff0d552a2dd	-6124	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	2856ea13afa66ae100c2bbeee2cba708d6b3e012f3ff2aa0b53075717e31f435	-5286	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	c9d0d9c351b46363a58b8de6f5736727ee67ff90b49788c839a7a46de22f214d	-4889	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	73a72e11b50415261726322acf70f33a8c8bd9ab10920c50211d113f3650b155	-4515	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	e17d7c98d43786de85a754db5e2c2bddc47ad67abd48fc4c361feb8bd0f97489	-2798	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	2f7901fac09d1b51717e24068d19217f94ddd64bf542ba8e129e82d641d30fc1	-1686	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	abcc936545f0e9155a33db6c9eae0515b707b9825b2739a9ee0ee8d49ea7683d	-883	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	003a0be2385f80a3db1d3a6c6500719c68df338a21fbb5f9e83eace697247b19	1516	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	2223fb5c909121d12c636e71a994224a5cce3bc05b72976288798e209e43cce8	2706	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	8a08f2565eb1d6ed9a1a7575d4a974167405db4460e22b654d1f0419f21be93e	2987	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	e7dfa3df5751ce53aa711f76142dc2bbd64f0895d1b2e0af57196bb0a5a10987	3484	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	dc580d5448855e7fc71f499d3423aae29a0e6413b1aeca98b7191f690649d395	4065	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	ff1ad0c9f31c8d2fa8316b4914959a8ed849c8ca673b38bcb4f5055878b35369	5365	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	6ee73c60f4ae7fbc9fbbf69591cb2be0e35c0da2dd7fa866aaddeabe7f6d6a72	6161	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	4e14b35e8a6ee4e736c402a74dfb488823c37d4599881ad7740cc807ac6f6914	8482	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
4405002e222e274574dd0ae9c8ac0bf8b957d1a7e735d5c1bfdd1bf2f59bb1e7	ab59e97e237eed82381fa324b02dfba4374e07af64b704b87a82b7355fe0c50f	9542	cd09639|Cas3_0_CAS-I;7.9e-15;CP049504.1:543542-547048
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	21a82dd0086b60f27d13afd59a543ae21f47e87c6cc521ba6133f2cfbeda105a	-9541	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	202e0c55983352c0c7b0b4f2c80aa802bb0f419a5c677708dfea85fa5ba5a722	-9067	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	bb51fdab083c22a77d489ed5a99eafa2a6bdfe8ca4af9d0968daad1c3182c084	-7519	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	45a9f20ccf254f69916dd8b3b1727bdf1db39d155fd2ea72ec2d6228b4b001ff	-6106	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	725d95a0dc584dd14866f69ff3e5f2f38c00109487a7b37411e509d3332852f0	-5598	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	f05dce0f378c3beba9c014c10d5e5ee7734815a9a6a60355d8735e52c5e60243	-4819	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	ec9f05b9338dbf3bf954b933f64af1b5fed65355ca02d671a4f6c2493688ecc1	-3553	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	726b5a5b08012ce6f17333579fc3ced4efe4161fb352aec5462cfe4ee803d22d	-2180	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	86b708c327374f69544d2c4249e9a4b4eabfbefcd42a19c85faf6c04fc583ee4	-1374	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	5fe58b96a0730ad6236c891c5ce7bf9854c229a28263ea9454cd5dcc49758970	-364	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	fe2650bf7d4e8a5cece59bc51ed290932019c342ff36d6b577769bf798c2dbde	728	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	3df5b477a3caa31451ac25dd9be11183bcb86190b10733dc95b16678bcc34fd4	1714	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
d83a859ecd0b399940752923f6d199578376fa67116e7af43dd5f64c7cdf6ec9	4f328b0f6de09348608717689b86c915d3c484a4f2e3294c83274400196e6148	4678	TIGR01587|Cas3_0_I;2.1e-15;CP049504.1:822605-823687
